PROJECT	SPECTRA_IN_REL_CLUSTERS	CORRECT_SPECTRA	INCORRECT_SPECTRA	CONTAMINANT_CORRECT_SPECTRA	CONTAMINANT_INCORRECT_SPECTRA
PRD000737	157174	156887	287	NA	NA
PRD000738	14694	14619	75	1370	5
PRD000744	27270	27255	15	1705	NA
PRD000748	24335	22410	1925	3840	102
PRD000753	109	87	22	2	3
PRD000769	371	367	4	4	NA
PRD000774	1546	1519	27	12	NA
PRD000780	241	241	NA	24	NA
PRD000787	11	11	NA	NA	NA
PRD000796	1495	1491	4	430	NA
PRD000808	16795	16792	3	NA	1
PRD000814	15014	15011	3	309	NA
PRD000818	27017	26981	36	931	32
PRD000822	87	87	NA	NA	NA
PRD000825	2094	2091	3	25	2
PRD000847	9058	8794	264	1984	176
PXD000001	44	37	7	6	1
PXD000002	17865	17829	36	5101	1
PXD000004	454243	164174	290069	5819	13012
PXD000008	1370	1370	NA	NA	NA
PXD000012	222	219	3	25	2
PXD000013	42825	28239	14586	1076	819
PXD000015	692	689	3	159	NA
PXD000016	24981	22327	2654	19	296
PXD000021	20944	19685	1259	110	38
PXD000023	20698	20487	211	136	10
PXD000025	1905	1891	14	6	NA
PXD000026	387	384	3	39	NA
PXD000027	622	535	87	NA	NA
PXD000030	778	734	44	186	6
PXD000035	458	424	34	NA	NA
PXD000041	1537	1326	211	13	142
PXD000043	640	566	74	5	1
PXD000045	7762	7756	6	NA	NA
PXD000047	22634	22413	221	1314	47
PXD000050	15693	15550	143	430	2
PXD000053	5062	5024	38	NA	NA
PXD000054	121710	119196	2514	NA	644
PXD000069	38383	36785	1598	709	77
PXD000070	39862	39492	370	1096	17
PXD000072	91281	88274	3007	4096	189
PXD000073	7111	6785	326	3264	190
PXD000076	15154	14845	309	90	8
PXD000083	67	66	1	59	NA
PXD000090	6446	1605	4841	30	2353
PXD000094	61991	61435	556	NA	26
PXD000095	918	879	39	NA	NA
PXD000107	770	761	9	85	2
PXD000119	22	20	2	10	1
PXD000124	17479	16540	939	179	28
PXD000126	14	11	3	1	NA
PXD000127	8457	8226	231	NA	NA
PXD000129	73165	66575	6590	184	237
PXD000142	1596	1565	31	NA	17
PXD000152	1327	1314	13	NA	NA
