PROJECT	ASSAY	SPECTRA_IN_REL_CLUSTERS	CORRECT_SPECTRA	INCORRECT_SPECTRA	CONTAMINANT_CORRECT_SPECTRA	CONTAMINANT_INCORRECT_SPECTRA
PRD000721	25924	38	38	NA	NA	NA
PRD000721	25925	34	34	NA	NA	NA
PRD000721	25926	35	34	1	NA	NA
PRD000721	25927	26	26	NA	NA	NA
PRD000721	25928	18	18	NA	NA	NA
PRD000721	25929	15	15	NA	NA	NA
PRD000721	25930	77	77	NA	NA	NA
PRD000721	25931	128	126	2	NA	NA
PRD000721	25932	84	83	1	NA	NA
PRD000721	25933	19	19	NA	NA	NA
PRD000721	25934	27	27	NA	NA	NA
PRD000721	25935	41	40	1	NA	NA
PRD000721	25936	34	32	2	NA	NA
PRD000721	25937	24	24	NA	NA	NA
PRD000721	25938	29	29	NA	NA	NA
PRD000721	25939	15	15	NA	NA	NA
PRD000721	25940	64	64	NA	NA	NA
PRD000721	25941	133	130	3	NA	NA
PRD000721	25942	78	77	1	NA	NA
PRD000721	25943	12	12	NA	NA	NA
PRD000721	25944	19	19	NA	NA	NA
PRD000721	25945	19	18	1	NA	NA
PRD000721	25946	26	24	2	NA	NA
PRD000721	25947	24	24	NA	NA	NA
PRD000721	25948	18	18	NA	NA	NA
PRD000721	25949	19	19	NA	NA	NA
PRD000721	25950	73	71	2	NA	NA
PRD000721	25951	155	154	1	NA	NA
PRD000721	25952	76	74	2	NA	NA
PRD000721	25953	16	16	NA	NA	NA
PRD000721	25954	32	31	1	NA	NA
PRD000721	25955	45	45	NA	NA	NA
PRD000721	25956	43	41	2	NA	NA
PRD000721	25957	26	26	NA	NA	NA
PRD000721	25958	19	19	NA	NA	NA
PRD000721	25959	23	23	NA	NA	NA
PRD000721	25960	37	33	4	NA	NA
PRD000721	25961	165	161	4	NA	NA
PRD000721	25962	86	85	1	NA	NA
PRD000721	25963	17	17	NA	NA	NA
PRD000721	25964	28	28	NA	NA	NA
PRD000721	25965	53	51	2	NA	NA
PRD000721	25966	44	43	1	NA	NA
PRD000721	25967	44	43	1	NA	NA
PRD000721	25968	20	19	1	NA	NA
PRD000721	25969	25	24	1	NA	NA
PRD000721	25970	25	21	4	NA	NA
PRD000721	25971	109	103	6	NA	NA
PRD000721	25972	106	104	2	NA	NA
PRD000721	25973	26	26	NA	NA	NA
PRD000721	25974	29	29	NA	NA	NA
PRD000721	25975	32	32	NA	NA	NA
PRD000721	25976	37	36	1	NA	NA
PRD000721	25977	33	33	NA	NA	NA
PRD000721	25978	26	25	1	NA	NA
PRD000721	25979	16	16	NA	NA	NA
PRD000721	25980	41	41	NA	NA	NA
PRD000721	25981	158	156	2	NA	NA
PRD000721	25982	75	72	3	NA	NA
PRD000721	25983	13	13	NA	NA	NA
PRD000721	25984	30	30	NA	NA	NA
PRD000721	25985	46	45	1	NA	NA
PRD000721	25986	38	35	3	NA	NA
PRD000721	25987	30	29	1	NA	NA
PRD000721	25988	28	28	NA	NA	NA
PRD000721	25989	26	25	1	NA	NA
PRD000721	25990	63	54	9	NA	NA
PRD000721	25991	155	147	8	NA	NA
PRD000721	25992	57	54	3	NA	NA
PRD000721	25993	16	16	NA	NA	NA
PRD000721	25994	26	26	NA	NA	NA
PRD000721	25995	41	39	2	NA	NA
PRD000721	25996	43	40	3	NA	NA
PRD000721	25997	25	25	NA	NA	NA
PRD000721	25998	24	24	NA	NA	NA
PRD000721	25999	17	16	1	NA	NA
PRD000721	26000	33	31	2	NA	NA
PRD000721	26001	162	161	1	NA	NA
PRD000721	26002	89	88	1	NA	NA
PRD000721	26003	27	27	NA	NA	NA
PRD000721	26004	29	29	NA	NA	NA
PRD000721	26005	36	35	1	NA	NA
PRD000721	26006	42	37	5	NA	NA
PRD000721	26007	32	31	1	NA	NA
PRD000721	26008	32	32	NA	NA	NA
PRD000721	26009	32	31	1	NA	NA
PRD000721	26010	46	46	NA	NA	NA
PRD000721	26011	176	161	15	NA	NA
PRD000721	26012	94	92	2	NA	NA
PRD000721	26013	30	28	2	NA	NA
PRD000721	26014	46	46	NA	NA	NA
PRD000721	26015	56	55	1	NA	NA
PRD000721	26016	43	40	3	NA	NA
PRD000721	26017	40	39	1	NA	NA
PRD000721	26018	30	30	NA	NA	NA
PRD000721	26019	27	27	NA	NA	NA
PRD000721	26020	41	37	4	NA	NA
PRD000721	26021	141	140	1	NA	NA
PRD000721	26022	87	86	1	NA	NA
PRD000721	26023	22	22	NA	NA	NA
PRD000721	26024	27	27	NA	NA	NA
PRD000721	26025	21	20	1	NA	NA
PRD000721	26026	53	51	2	NA	NA
PRD000721	26027	29	28	1	NA	NA
PRD000721	26028	20	20	NA	NA	NA
PRD000721	26029	24	22	2	NA	NA
PRD000721	26030	12	12	NA	NA	NA
PRD000721	26031	85	84	1	NA	NA
PRD000721	26032	96	91	5	NA	NA
PRD000721	26033	44	42	2	NA	NA
PRD000721	26034	35	35	NA	NA	NA
PRD000721	26035	31	31	NA	NA	NA
PRD000721	26036	47	46	1	NA	NA
PRD000721	26037	41	41	NA	NA	NA
PRD000721	26038	31	31	NA	NA	NA
PRD000721	26039	13	13	NA	NA	NA
PRD000721	26040	88	84	4	NA	NA
PRD000721	26041	141	140	1	NA	NA
PRD000721	26042	28	28	NA	NA	NA
PRD000721	26043	27	27	NA	NA	NA
PRD000721	26044	30	30	NA	NA	NA
PRD000721	26045	56	53	3	NA	NA
PRD000721	26046	32	31	1	NA	NA
PRD000721	26047	21	21	NA	NA	NA
PRD000721	26048	18	18	NA	NA	NA
PRD000721	26049	20	18	2	NA	NA
PRD000721	26050	22	20	2	NA	NA
PRD000721	26051	89	89	NA	NA	NA
PRD000721	26052	90	90	NA	NA	NA
PRD000721	26053	33	30	3	NA	NA
PRD000721	26054	28	28	NA	NA	NA
PRD000721	26055	49	48	1	NA	NA
PRD000721	26056	38	38	NA	NA	NA
PRD000721	26057	36	36	NA	NA	NA
PRD000721	26058	21	21	NA	NA	NA
PRD000721	26059	20	20	NA	NA	NA
PRD000721	26060	23	22	1	NA	NA
PRD000721	26061	126	118	8	NA	NA
PRD000721	26062	104	104	NA	NA	NA
PRD000721	26063	46	46	NA	NA	NA
PRD000721	26064	31	31	NA	NA	NA
PRD000721	26065	34	33	1	NA	NA
PRD000721	26066	39	38	1	NA	NA
PRD000721	26067	31	30	1	NA	NA
PRD000721	26068	29	28	1	NA	NA
PRD000721	26069	20	20	NA	NA	NA
PRD000721	26070	20	20	NA	NA	NA
PRD000721	26071	89	89	NA	NA	NA
PRD000721	26072	117	114	3	NA	NA
PRD000721	26073	50	50	NA	NA	NA
PRD000721	26074	32	31	1	NA	NA
PRD000721	26075	53	53	NA	NA	NA
PRD000721	26076	54	52	2	NA	NA
PRD000721	26077	38	38	NA	NA	NA
PRD000721	26078	23	22	1	NA	NA
PRD000721	26079	26	24	2	NA	NA
PRD000721	26080	29	28	1	NA	NA
PRD000721	26081	117	116	1	NA	NA
PRD000721	26082	124	119	5	NA	NA
PRD000721	26083	59	59	NA	NA	NA
PRD000721	26084	29	29	NA	NA	NA
PRD000721	26085	63	61	2	NA	NA
PRD000721	26086	46	43	3	NA	NA
PRD000721	26087	29	29	NA	NA	NA
PRD000721	26088	30	30	NA	NA	NA
PRD000721	26089	24	24	NA	NA	NA
PRD000721	26090	20	18	2	NA	NA
PRD000721	26091	118	114	4	NA	NA
PRD000721	26092	95	95	NA	NA	NA
PRD000721	26093	27	27	NA	NA	NA
PRD000721	26094	21	21	NA	NA	NA
PRD000721	26095	38	36	2	NA	NA
PRD000721	26096	42	40	2	NA	NA
PRD000721	26097	18	17	1	NA	NA
PRD000721	26098	24	24	NA	NA	NA
PRD000721	26099	29	29	NA	NA	NA
PRD000721	26100	33	30	3	NA	NA
PRD000721	26101	11	11	NA	NA	NA
PRD000721	26102	92	87	5	NA	NA
PRD000721	26103	36	32	4	NA	NA
PRD000721	26104	11	11	NA	NA	NA
PRD000721	26105	10	10	NA	NA	NA
PRD000721	26106	10	10	NA	NA	NA
PRD000721	26107	20	20	NA	NA	NA
PRD000721	26108	15	15	NA	NA	NA
PRD000721	26109	9	9	NA	NA	NA
PRD000721	26110	35	35	NA	NA	NA
PRD000721	26111	17	15	2	NA	NA
PRD000721	26112	111	106	5	NA	NA
PRD000721	26113	28	27	1	NA	NA
PRD000721	26114	9	9	NA	NA	NA
PRD000721	26115	14	14	NA	NA	NA
PRD000721	26116	22	22	NA	NA	NA
PRD000721	26117	14	14	NA	NA	NA
PRD000721	26118	12	12	NA	NA	NA
PRD000721	26119	15	15	NA	NA	NA
PRD000721	26120	1	1	NA	NA	NA
PRD000721	26121	5	5	NA	NA	NA
PRD000721	26122	91	90	1	NA	NA
PRD000721	26123	38	38	NA	NA	NA
PRD000721	26124	13	13	NA	NA	NA
PRD000721	26125	19	19	NA	NA	NA
PRD000721	26126	20	19	1	NA	NA
PRD000721	26127	16	15	1	NA	NA
PRD000721	26128	13	13	NA	NA	NA
PRD000721	26129	9	9	NA	NA	NA
PRD000721	26130	20	20	NA	NA	NA
PRD000721	26131	6	6	NA	NA	NA
PRD000721	26132	75	71	4	NA	NA
PRD000721	26133	40	35	5	NA	NA
PRD000721	26134	14	14	NA	NA	NA
PRD000721	26135	16	16	NA	NA	NA
PRD000721	26136	11	11	NA	NA	NA
PRD000721	26137	11	11	NA	NA	NA
PRD000721	26138	14	14	NA	NA	NA
PRD000721	26139	9	9	NA	NA	NA
PRD000721	26140	21	19	2	NA	NA
PRD000721	26141	7	7	NA	NA	NA
PRD000721	26142	90	87	3	NA	NA
PRD000721	26143	35	35	NA	NA	NA
PRD000721	26144	12	12	NA	NA	NA
PRD000721	26145	22	22	NA	NA	NA
PRD000721	26146	11	11	NA	NA	NA
PRD000721	26147	25	25	NA	NA	NA
PRD000721	26148	13	12	1	NA	NA
PRD000721	26149	17	16	1	NA	NA
PRD000721	26150	22	22	NA	NA	NA
PRD000721	26151	97	97	NA	NA	NA
PRD000721	26152	70	68	2	NA	NA
PRD000721	26153	16	16	NA	NA	NA
PRD000721	26154	10	10	NA	NA	NA
PRD000721	26155	22	22	NA	NA	NA
PRD000721	26156	16	15	1	NA	NA
PRD000721	26157	15	15	NA	NA	NA
PRD000721	26158	17	16	1	NA	NA
PRD000721	26159	23	23	NA	NA	NA
PRD000721	26160	35	34	1	NA	NA
PRD000721	26161	81	80	1	NA	NA
PRD000721	26162	66	65	1	NA	NA
PRD000721	26163	17	17	NA	NA	NA
PRD000721	26164	16	16	NA	NA	NA
PRD000721	26165	23	23	NA	NA	NA
PRD000721	26166	20	18	2	NA	NA
PRD000721	26167	14	14	NA	NA	NA
PRD000721	26168	11	11	NA	NA	NA
PRD000721	26169	9	9	NA	NA	NA
PRD000721	26170	20	19	1	NA	NA
PRD000721	26171	99	95	4	NA	NA
PRD000721	26172	62	62	NA	NA	NA
PRD000721	26173	10	10	NA	NA	NA
PRD000721	26174	9	8	1	NA	NA
PRD000721	26175	27	26	1	NA	NA
PRD000721	26176	21	20	1	NA	NA
PRD000721	26177	19	19	NA	NA	NA
PRD000721	26178	16	16	NA	NA	NA
PRD000721	26179	16	16	NA	NA	NA
PRD000721	26180	30	27	3	NA	NA
PRD000721	26181	99	92	7	NA	NA
PRD000721	26182	54	53	1	NA	NA
PRD000721	26183	11	11	NA	NA	NA
PRD000721	26184	16	16	NA	NA	NA
PRD000721	26185	23	23	NA	NA	NA
PRD000721	26186	27	26	1	NA	NA
PRD000721	26187	19	19	NA	NA	NA
PRD000721	26188	14	14	NA	NA	NA
PRD000721	26189	11	11	NA	NA	NA
PRD000721	26190	16	16	NA	NA	NA
PRD000721	26191	111	107	4	NA	NA
PRD000721	26192	64	63	1	NA	NA
PRD000721	26193	6	6	NA	NA	NA
PRD000721	26194	10	10	NA	NA	NA
PRD000721	26195	9	9	NA	NA	NA
PRD000721	26196	12	12	NA	NA	NA
PRD000721	26197	12	12	NA	NA	NA
PRD000721	26198	12	12	NA	NA	NA
PRD000721	26199	18	18	NA	NA	NA
PRD000721	26200	18	18	NA	NA	NA
PRD000721	26201	94	90	4	NA	NA
PRD000721	26202	54	52	2	NA	NA
PRD000721	26203	16	16	NA	NA	NA
PRD000721	26204	9	9	NA	NA	NA
PRD000721	26205	23	23	NA	NA	NA
PRD000721	26206	19	19	NA	NA	NA
PRD000721	26207	16	16	NA	NA	NA
PRD000721	26208	13	13	NA	NA	NA
PRD000721	26209	18	18	NA	NA	NA
PRD000721	26210	31	30	1	NA	NA
PRD000721	26211	109	106	3	NA	NA
PRD000721	26212	56	55	1	NA	NA
PRD000721	26213	14	14	NA	NA	NA
PRD000721	26214	13	13	NA	NA	NA
PRD000721	26215	12	12	NA	NA	NA
PRD000721	26216	19	19	NA	NA	NA
PRD000721	26217	16	16	NA	NA	NA
PRD000721	26218	10	10	NA	NA	NA
PRD000721	26219	17	17	NA	NA	NA
PRD000721	26220	42	41	1	NA	NA
PRD000721	26221	103	99	4	NA	NA
PRD000721	26222	61	61	NA	NA	NA
PRD000721	26223	21	21	NA	NA	NA
PRD000721	26224	20	20	NA	NA	NA
PRD000721	26225	35	35	NA	NA	NA
PRD000721	26226	15	15	NA	NA	NA
PRD000721	26227	15	15	NA	NA	NA
PRD000721	26228	19	19	NA	NA	NA
PRD000721	26229	18	17	1	NA	NA
PRD000721	26230	12	12	NA	NA	NA
PRD000721	26231	97	94	3	NA	NA
PRD000721	26232	78	76	2	NA	NA
PRD000721	26233	17	17	NA	NA	NA
PRD000721	26234	14	14	NA	NA	NA
PRD000721	26235	22	22	NA	NA	NA
PRD000721	26236	27	26	1	NA	NA
PRD000721	26237	20	20	NA	NA	NA
PRD000721	26238	13	12	1	NA	NA
PRD000721	26239	16	15	1	NA	NA
PRD000721	26240	74	72	2	NA	NA
PRD000721	26241	106	106	NA	NA	NA
PRD000721	26242	30	28	2	NA	NA
PRD000721	26243	9	9	NA	NA	NA
PRD000721	26244	16	16	NA	NA	NA
PRD000721	26245	15	15	NA	NA	NA
PRD000721	26246	10	10	NA	NA	NA
PRD000721	26247	16	16	NA	NA	NA
PRD000721	26248	7	6	1	NA	NA
PRD000721	26249	20	19	1	NA	NA
PRD000721	26250	72	70	2	NA	NA
PRD000721	26251	97	92	5	NA	NA
PRD000721	26252	27	27	NA	NA	NA
PRD000721	26253	8	8	NA	NA	NA
PRD000721	26254	22	22	NA	NA	NA
PRD000721	26255	16	16	NA	NA	NA
PRD000721	26256	19	18	1	NA	NA
PRD000721	26257	6	5	1	NA	NA
PRD000721	26258	13	13	NA	NA	NA
PRD000721	26259	79	63	16	NA	NA
PRD000721	26260	101	98	3	NA	NA
PRD000721	26261	10	10	NA	NA	NA
PRD000721	26262	9	9	NA	NA	NA
PRD000721	26263	8	8	NA	NA	NA
PRD000721	26264	13	13	NA	NA	NA
PRD000721	26265	19	16	3	NA	NA
PRD000721	26266	23	22	1	NA	NA
PRD000721	26267	8	7	1	NA	NA
PRD000721	26268	9	9	NA	NA	NA
PRD000721	26269	116	114	2	NA	NA
PRD000721	26270	116	113	3	NA	NA
PRD000721	26271	47	47	NA	NA	NA
PRD000721	26272	8	8	NA	NA	NA
PRD000721	26273	11	11	NA	NA	NA
PRD000721	26274	16	16	NA	NA	NA
PRD000721	26275	34	34	NA	NA	NA
PRD000721	26276	26	26	NA	NA	NA
PRD000721	26277	16	16	NA	NA	NA
PRD000721	26278	22	22	NA	NA	NA
PRD000721	26279	27	27	NA	NA	NA
PRD000721	26280	82	79	3	NA	NA
PRD000721	26281	13	13	NA	NA	NA
PRD000721	26282	9	9	NA	NA	NA
PRD000721	26283	9	9	NA	NA	NA
PRD000721	26284	13	13	NA	NA	NA
PRD000721	26285	16	16	NA	NA	NA
PRD000721	26286	12	12	NA	NA	NA
PRD000721	26287	9	9	NA	NA	NA
PRD000721	26288	6	6	NA	NA	NA
PRD000721	26289	35	34	1	NA	NA
PRD000721	26290	56	56	NA	NA	NA
PRD000721	26291	23	22	1	NA	NA
PRD000721	26292	16	16	NA	NA	NA
PRD000721	26293	16	16	NA	NA	NA
PRD000721	26294	24	24	NA	NA	NA
PRD000721	26295	33	32	1	NA	NA
PRD000721	26296	17	16	1	NA	NA
PRD000721	26297	18	18	NA	NA	NA
PRD000721	26298	11	11	NA	NA	NA
PRD000721	26299	63	63	NA	NA	NA
PRD000721	26300	77	77	NA	NA	NA
PRD000721	26301	20	20	NA	NA	NA
PRD000721	26302	12	12	NA	NA	NA
PRD000721	26303	15	15	NA	NA	NA
PRD000721	26304	18	18	NA	NA	NA
PRD000721	26305	13	12	1	NA	NA
PRD000721	26306	15	14	1	NA	NA
PRD000721	26307	6	6	NA	NA	NA
PRD000721	26308	11	11	NA	NA	NA
PRD000721	26309	35	34	1	NA	NA
PRD000721	26310	74	74	NA	NA	NA
PRD000721	26311	7	7	NA	NA	NA
PRD000721	26312	8	8	NA	NA	NA
PRD000721	26313	15	15	NA	NA	NA
PRD000721	26314	12	12	NA	NA	NA
PRD000721	26315	10	9	1	NA	NA
PRD000721	26316	8	8	NA	NA	NA
PRD000721	26317	8	7	1	NA	NA
PRD000721	26318	17	16	1	NA	NA
PRD000721	26319	22	18	4	NA	NA
PRD000721	26320	62	61	1	NA	NA
PRD000721	26321	60	58	2	NA	NA
PRD000721	26322	16	16	NA	NA	NA
PRD000721	26323	19	18	1	NA	NA
PRD000721	26324	16	16	NA	NA	NA
PRD000721	26325	20	20	NA	NA	NA
PRD000721	26326	13	13	NA	NA	NA
PRD000721	26327	15	15	NA	NA	NA
PRD000721	26328	16	15	1	NA	NA
PRD000721	26329	67	62	5	NA	NA
PRD000721	26330	85	85	NA	NA	NA
PRD000721	26331	50	49	1	NA	NA
PRD000721	26332	5	5	NA	NA	NA
PRD000721	26333	13	13	NA	NA	NA
PRD000721	26334	27	27	NA	NA	NA
PRD000721	26335	17	17	NA	NA	NA
PRD000721	26336	16	16	NA	NA	NA
PRD000721	26337	19	17	2	NA	NA
PRD000721	26338	23	22	1	NA	NA
PRD000721	26339	35	34	1	NA	NA
PRD000721	26340	76	72	4	NA	NA
PRD000721	26341	50	50	NA	NA	NA
PRD000721	26342	5	5	NA	NA	NA
PRD000721	26343	7	7	NA	NA	NA
PRD000721	26344	10	10	NA	NA	NA
PRD000721	26345	18	18	NA	NA	NA
PRD000721	26346	10	9	1	NA	NA
PRD000721	26347	12	11	1	NA	NA
PRD000721	26348	14	14	NA	NA	NA
PRD000721	26349	46	46	NA	NA	NA
PRD000721	26350	102	96	6	NA	NA
PRD000721	26351	56	50	6	NA	NA
PRD000721	26352	8	8	NA	NA	NA
PRD000721	26353	20	19	1	NA	NA
PRD000721	26354	25	25	NA	NA	NA
PRD000721	26355	26	24	2	NA	NA
PRD000721	26356	20	20	NA	NA	NA
PRD000721	26357	13	13	NA	NA	NA
PRD000721	26358	12	12	NA	NA	NA
PRD000721	26359	14	14	NA	NA	NA
PRD000721	26360	92	89	3	NA	NA
PRD000721	26361	43	43	NA	NA	NA
PRD000721	26362	6	6	NA	NA	NA
PRD000721	26363	12	12	NA	NA	NA
PRD000721	26364	31	31	NA	NA	NA
PRD000721	26365	17	16	1	NA	NA
PRD000721	26366	19	18	1	NA	NA
PRD000721	26367	7	7	NA	NA	NA
PRD000721	26368	11	11	NA	NA	NA
PRD000721	26369	27	25	2	NA	NA
PRD000721	26370	102	99	3	NA	NA
PRD000721	26371	71	66	5	NA	NA
PRD000721	26372	21	21	NA	NA	NA
PRD000721	26373	13	13	NA	NA	NA
PRD000721	26374	21	21	NA	NA	NA
PRD000721	26375	27	27	NA	NA	NA
PRD000721	26376	20	18	2	NA	NA
PRD000721	26377	17	16	1	NA	NA
PRD000721	26378	11	10	1	NA	NA
PRD000721	26379	32	28	4	NA	NA
PRD000721	26380	100	97	3	NA	NA
PRD000721	26381	45	45	NA	NA	NA
PRD000721	26382	7	7	NA	NA	NA
PRD000721	26383	18	18	NA	NA	NA
PRD000721	26384	22	22	NA	NA	NA
PRD000721	26385	18	18	NA	NA	NA
PRD000721	26386	18	17	1	NA	NA
PRD000721	26387	19	19	NA	NA	NA
PRD000721	26388	16	16	NA	NA	NA
PRD000721	26389	39	36	3	NA	NA
PRD000721	26390	100	95	5	NA	NA
PRD000721	26391	34	33	1	NA	NA
PRD000721	26392	11	11	NA	NA	NA
PRD000721	26393	18	18	NA	NA	NA
PRD000721	26394	26	25	1	NA	NA
PRD000721	26395	15	15	NA	NA	NA
PRD000721	26396	22	22	NA	NA	NA
PRD000721	26397	15	15	NA	NA	NA
PRD000721	26398	11	11	NA	NA	NA
PRD000721	26399	32	26	6	NA	NA
PRD000721	26400	117	115	2	NA	NA
PRD000721	26401	54	54	NA	NA	NA
PRD000721	26402	21	20	1	NA	NA
PRD000721	26403	15	15	NA	NA	NA
PRD000721	26404	26	25	1	NA	NA
PRD000721	26405	25	24	1	NA	NA
PRD000721	26406	24	23	1	NA	NA
PRD000721	26407	24	24	NA	NA	NA
PRD000721	26408	16	16	NA	NA	NA
PRD000721	26409	32	28	4	NA	NA
PRD000721	26410	124	116	8	NA	NA
PRD000721	26411	59	58	1	NA	NA
PRD000721	26412	22	22	NA	NA	NA
PRD000721	26413	26	25	1	NA	NA
PRD000721	26414	28	28	NA	NA	NA
PRD000721	26415	20	20	NA	NA	NA
PRD000721	26416	17	17	NA	NA	NA
PRD000721	26417	16	15	1	NA	NA
PRD000721	26418	11	11	NA	NA	NA
PRD000721	26419	27	27	NA	NA	NA
PRD000721	26420	110	107	3	NA	NA
PRD000721	26421	50	50	NA	NA	NA
PRD000721	26422	9	9	NA	NA	NA
PRD000721	26423	14	14	NA	NA	NA
PRD000721	26424	17	17	NA	NA	NA
PRD000721	26425	16	15	1	NA	NA
PRD000721	26426	22	21	1	NA	NA
PRD000721	26427	20	20	NA	NA	NA
PRD000721	26428	18	18	NA	NA	NA
PRD000721	26429	11	10	1	NA	NA
PRD000721	26430	63	60	3	NA	NA
PRD000721	26431	78	75	3	NA	NA
PRD000721	26432	25	24	1	NA	NA
PRD000721	26433	14	14	NA	NA	NA
PRD000721	26434	22	21	1	NA	NA
PRD000721	26435	17	17	NA	NA	NA
PRD000721	26436	26	25	1	NA	NA
PRD000721	26437	16	14	2	NA	NA
PRD000721	26438	13	13	NA	NA	NA
PRD000721	26439	70	69	1	NA	NA
PRD000721	26440	99	98	1	NA	NA
PRD000721	26441	19	19	NA	NA	NA
PRD000721	26442	12	12	NA	NA	NA
PRD000721	26443	24	24	NA	NA	NA
PRD000721	26444	25	25	NA	NA	NA
PRD000721	26445	16	16	NA	NA	NA
PRD000721	26446	17	16	1	NA	NA
PRD000721	26447	9	9	NA	NA	NA
PRD000721	26448	11	11	NA	NA	NA
PRD000721	26449	19	19	NA	NA	NA
PRD000721	26450	82	76	6	NA	NA
PRD000721	26451	62	62	NA	NA	NA
PRD000721	26452	25	25	NA	NA	NA
PRD000721	26453	10	10	NA	NA	NA
PRD000721	26454	29	29	NA	NA	NA
PRD000721	26455	21	20	1	NA	NA
PRD000721	26456	21	21	NA	NA	NA
PRD000721	26457	15	15	NA	NA	NA
PRD000721	26458	14	13	1	NA	NA
PRD000721	26459	25	23	2	NA	NA
PRD000721	26460	83	76	7	NA	NA
PRD000721	26461	78	77	1	NA	NA
PRD000721	26462	27	27	NA	NA	NA
PRD000721	26463	12	12	NA	NA	NA
PRD000721	26464	16	16	NA	NA	NA
PRD000721	26465	17	17	NA	NA	NA
PRD000721	26466	20	19	1	NA	NA
PRD000721	26467	18	16	2	NA	NA
PRD000721	26468	20	19	1	NA	NA
PRD000721	26469	13	10	3	NA	NA
PRD000721	26470	73	72	1	NA	NA
PRD000721	26471	72	71	1	NA	NA
PRD000721	26472	30	30	NA	NA	NA
PRD000721	26473	15	15	NA	NA	NA
PRD000721	26474	33	32	1	NA	NA
PRD000721	26475	20	20	NA	NA	NA
PRD000721	26476	16	16	NA	NA	NA
PRD000721	26477	21	19	2	NA	NA
PRD000721	26478	11	11	NA	NA	NA
PRD000721	26479	23	19	4	NA	NA
PRD000721	26480	105	101	4	NA	NA
PRD000721	26481	95	93	2	NA	NA
PRD000721	26482	42	39	3	NA	NA
PRD000721	26483	19	19	NA	NA	NA
PRD000721	26484	38	38	NA	NA	NA
PRD000721	26485	24	23	1	NA	NA
PRD000721	26486	19	19	NA	NA	NA
PRD000721	26487	23	22	1	NA	NA
PRD000721	26488	14	14	NA	NA	NA
PRD000721	26489	17	17	NA	NA	NA
PRD000721	26490	81	79	2	NA	NA
PRD000721	26491	77	75	2	NA	NA
PRD000721	26492	18	18	NA	NA	NA
PRD000721	26493	12	12	NA	NA	NA
PRD000721	26494	32	31	1	NA	NA
PRD000721	26495	18	17	1	NA	NA
PRD000721	26496	13	13	NA	NA	NA
PRD000721	26497	15	15	NA	NA	NA
PRD000721	26498	14	14	NA	NA	NA
PXD000411	30580	233	229	4	NA	NA
PXD000411	30581	71	71	NA	NA	NA
PXD000411	30582	115	113	2	NA	NA
PXD000411	30583	190	186	4	NA	NA
PRD000481	18093	26	26	NA	NA	NA
PRD000481	18094	655	651	4	36	NA
PRD000481	18095	194	193	1	4	1
PRD000481	18096	4022	4004	18	285	2
PXD000756	34759	3256	3146	110	430	21
PXD000756	34760	6237	6018	219	74	1
PXD000756	34761	6328	6112	216	65	2
PXD000756	34762	979	955	24	221	14
PXD000756	34763	970	950	20	215	12
PXD000756	34764	2897	2816	81	125	12
PXD000756	34765	2085	2017	68	243	9
PXD000756	34766	2143	2083	60	247	6
PXD000756	34767	5361	5146	215	173	3
PXD000756	34768	1971	1917	54	303	15
PXD000756	34769	1437	1390	47	751	32
PXD000756	34770	101	98	3	85	1
PXD000756	34771	409	400	9	154	5
PXD000756	34772	181	175	6	82	3
PXD000756	34773	81	79	2	55	2
PXD000756	34774	646	631	15	136	5
PXD000756	34775	138	137	1	104	1
PXD000756	34776	122	118	4	60	2
PXD000756	34777	160	155	5	111	3
PXD000756	34778	176	171	5	66	3
PXD000756	34779	229	221	8	129	4
PXD000756	34780	3288	3188	100	413	22
PXD000756	34781	3365	3264	101	94	10
PXD000756	34782	467	451	16	167	7
PXD000756	34783	3416	3270	146	424	27
PXD000756	34784	3302	3155	147	411	24
PXD000756	34785	3438	3341	97	90	5
PXD000756	34786	132	128	4	61	1
PXD000756	34787	6790	6521	269	152	7
PXD000756	34788	6683	6415	268	148	10
PXD000756	34789	3488	3413	75	443	16
PXD000756	34790	1068	1017	51	712	34
PXD000756	34791	5936	5721	215	41	1
PXD000756	34792	4625	4544	81	83	6
PXD000756	34793	522	508	14	201	6
PXD000756	34794	7303	7024	279	108	8
PXD000756	34795	7518	7242	276	110	7
PXD000756	34796	3113	3012	101	410	23
PXD000756	34797	876	847	29	582	18
PXD000756	34798	901	867	34	591	24
PXD000756	34799	475	452	23	160	8
PXD000756	34800	599	585	14	102	2
PXD000756	34801	542	510	32	90	5
PXD000756	34802	2908	2852	56	276	9
PXD000756	34803	2795	2712	83	124	10
PXD000756	34804	6712	6425	287	141	11
PXD000756	34805	3188	3053	135	396	20
PXD000756	34806	3437	3324	113	88	9
PXD000756	34807	1944	1884	60	495	28
PXD000756	34808	232	220	12	189	10
PXD000756	34809	6229	6036	193	43	NA
PXD000756	34810	7473	7182	291	126	11
PXD000756	34811	615	585	30	222	14
PXD000756	34812	338	326	12	249	10
PXD000756	34813	300	284	16	215	14
PXD000756	34814	243	232	11	186	10
PXD000756	34815	6388	6167	221	48	NA
PXD000756	34816	836	798	38	539	22
PXD000756	34817	334	316	18	253	17
PXD000756	34818	276	265	11	220	9
PXD000756	34819	257	242	15	195	11
PXD000756	34820	1037	1003	34	550	21
PXD000756	34821	1063	1016	47	670	29
PXD000756	34822	1582	1517	65	818	35
PXD000756	34823	2156	2093	63	255	9
